flow,Re,nx,n_snapshots,memory_dense_mb,guided_ranks,guided_memory_mb,guided_error,guided_compression_ratio,matched_uniform_rank,matched_uniform_memory_mb,matched_uniform_error,guided_vs_uniform_memory_advantage,decomp_time_sec,notes
smooth_tgv,100.0,64,34,2.125,"[15, 30, 30]",0.272369384765625,1.0658974556396888e-15,7.801904761904762,26,0.33245849609375,1.056076052130735e-15,1.2206162464985995,0.31766390000120737,
perturbed_amp0.1,100.0,64,34,2.125,"[13, 26, 26]",0.191619873046875,7.973755129685806e-08,11.089663959229176,26,0.33245849609375,7.973754759649093e-08,1.7349896480331264,0.24733689999993658,
perturbed_amp0.3,100.0,64,34,2.125,"[11, 22, 22]",0.129913330078125,5.310958925969041e-06,16.357058961710123,22,0.21685791015625,5.310956532455641e-06,1.669250645994832,0.1653816000034567,
