nx,nt,r_t,r_x,r_y,memory_dense_mb,memory_tucker_mb,compression_ratio,reconstruction_error,decomp_time_sec,collect_time_sec,measurement
32,10,5,16,16,0.15625,0.035919189453125,4.3500424808836025,1.4603518729307163e-06,0.012311200000112876,0.015461799994227476,measured
64,34,15,30,30,2.125,0.272369384765625,7.801904761904762,1.0658974556396888e-15,0.18806050000421237,0.08722530000522966,measured
128,131,29,59,59,32.75,1.82879638671875,17.907953142208726,1.5515514262107428e-15,4.3144762000010815,1.3128208999987692,measured
256,262,29,59,59,262.0,2.1172332763671875,123.74640193146193,nan,nan,nan,projected
512,524,29,59,59,2096.0,2.6941070556640625,777.9943249075391,nan,nan,nan,projected
1024,1048,29,59,59,16768.0,3.8478546142578125,4357.753002898804,nan,nan,nan,projected
