Re,nx,method,n_snapshots,ranks,memory_mb,compression_ratio,reconstruction_error,decomp_time_sec,collect_time_sec
10.0,64,dense_trajectory,327,full,20.4375,1.0,0.0,0.0,1.0577757999999449
10.0,64,tucker_fixed_rank,327,"[8, 8, 8]",0.0633544921875,322.5895953757225,4.456277071699517e-06,1.8582518000002892,1.0577757999999449
10.0,64,tucker_associator_guided,327,"[9, 19, 19]",0.131591796875,155.30983302411875,9.835887558326913e-08,1.7251260000011825,1.0577757999999449
100.0,64,dense_trajectory,34,full,2.125,1.0,0.0,0.0,0.11135579999972833
100.0,64,tucker_fixed_rank,34,"[8, 8, 8]",0.027587890625,77.02654867256638,4.958214184835767e-05,0.12245949999851291,0.11135579999972833
100.0,64,tucker_associator_guided,34,"[14, 28, 28]",0.22943115234375,9.262037776004256,7.559484455761117e-08,0.19703649999792106,0.11135579999972833
250.0,64,dense_trajectory,20,full,1.25,1.0,0.0,0.0,0.062421700000413693
250.0,64,tucker_fixed_rank,20,"[8, 8, 8]",0.02587890625,48.301886792452834,6.736422137100443e-05,0.08278349999818602,0.062421700000413693
250.0,64,tucker_associator_guided,20,"[10, 29, 29]",0.188018798828125,6.648271384515501,2.434963049693958e-07,0.1288273999998637,0.062421700000413693
500.0,64,dense_trajectory,20,full,1.25,1.0,0.0,0.0,0.06267830000069807
500.0,64,tucker_fixed_rank,20,"[8, 8, 8]",0.02587890625,48.301886792452834,7.325954267028528e-05,0.07959630000186735,0.06267830000069807
500.0,64,tucker_associator_guided,20,"[10, 30, 30]",0.198974609375,6.282208588957055,2.438388868540346e-07,0.1323210000009567,0.06267830000069807
