nx,nt,r_t,r_x,r_y,memory_dense_mb,memory_tucker_mb,compression_ratio,reconstruction_error,decomp_time_sec,collect_time_sec,measurement
32,10,5,16,16,0.15625,0.035919189453125,4.3500424808836025,1.4603518729307163e-06,0.013048999993770849,0.01592339999479009,measured
64,34,15,30,30,2.125,0.272369384765625,7.801904761904762,1.0658974556396888e-15,0.19671040000685025,0.08648959999845829,measured
128,131,29,59,59,32.75,1.82879638671875,17.907953142208726,1.5515514262107428e-15,4.8846675000022515,1.3854640999998082,measured
256,523,59,119,119,523.0,14.14923095703125,36.963139663792326,1.5508285319748759e-15,89.51167239999631,29.52782119999756,measured
512,1046,59,119,119,4184.0,15.549758911132812,269.0716958321762,nan,nan,nan,projected
1024,2092,59,119,119,33472.0,18.350814819335938,1824.0061996991617,nan,nan,nan,projected
