nx,nt,r_t,r_x,r_y,memory_dense_mb,memory_tucker_mb,compression_ratio,reconstruction_error,decomp_time_sec,collect_time_sec,measurement
32,10,5,16,16,0.15625,0.035919189453125,4.3500424808836025,1.4603518729307163e-06,0.011610100002144463,0.015898999998171348,measured
64,34,15,30,30,2.125,0.272369384765625,7.801904761904762,1.0658974556396888e-15,0.2008267999990494,0.08955499999865424,measured
128,131,14,29,29,32.75,0.3209228515625,102.0494484594903,1.210918831111612e-15,3.7973618999967584,1.368837900001381,measured
256,523,14,29,29,523.0,0.5179443359375,1009.7610181475371,1.3831269821630387e-15,57.30064499999571,28.861533499999496,measured
512,1046,14,29,29,4184.0,0.856231689453125,4886.527854011477,nan,nan,nan,projected
1024,2092,14,29,29,33472.0,1.532806396484375,21837.06962390746,nan,nan,nan,projected
